2, 6, 4, nback, 22, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0104, 1, 0.3884
2, 6, 4, nback, 23, 1, 2@, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0102, 0, 0.4666
2, 6, 4, nback, 24, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0100, 1, 0.5467
2, 6, 4, nback, 25, 1, 1!, 2@, 45, 075.jpg, singleton, nback_singleton_2back, 0.0099, 0, 0.7728
2, 6, 4, nback, 26, 1, 1!, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0097, 1, 0.4391
2, 6, 4, nback, 27, 1, 1!, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0095, 1, 0.4121
2, 6, 4, nback, 28, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0094, 1, 0.6692
2, 6, 4, nback, 29, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0092, 1, 0.5966
2, 6, 4, nback, 30, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0090, 1, 0.4576
2, 6, 5, cat, 1, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0079, 1, 0.5568
2, 6, 5, cat, 2, 1, 1!, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0076, 1, 0.4520
2, 6, 5, cat, 3, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton, 0.0076, 1, 0.4402
2, 6, 5, cat, 4, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0074, 1, 0.5124
2, 6, 5, cat, 5, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton_2back, 0.0071, 1, 0.5317
2, 6, 5, cat, 6, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton, 0.0070, 1, 0.4957
2, 6, 5, cat, 7, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0069, 1, 0.4987
2, 6, 5, cat, 8, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0067, 1, 0.5449
2, 6, 5, cat, 9, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0065, 1, 0.5703
2, 6, 5, cat, 10, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2_2back, 0.0064, 1, 0.4694
2, 6, 5, cat, 11, 1, 2@, 2@, 9, 056.jpg, different, cat_different_pair1, 0.0062, 1, 0.5926
2, 6, 5, cat, 12, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2, 0.0060, 1, 0.4797
2, 6, 5, cat, 13, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0058, 1, 0.4119
2, 6, 5, cat, 14, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2_2back, 0.0056, 1, 0.3970
2, 6, 5, cat, 15, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0055, 1, 0.4632
2, 6, 5, cat, 16, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0053, 1, 0.5233
2, 6, 5, cat, 17, 1, 1!, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0051, 0, 0.4617
2, 6, 5, cat, 18, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1_2back, 0.0050, 1, 0.4856
2, 6, 5, cat, 19, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0048, 1, 0.5089
2, 6, 5, cat, 20, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0046, 1, 0.5009
2, 6, 5, cat, 21, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton_2back, 0.0045, 1, 0.4523
2, 6, 5, cat, 22, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0043, 1, 0.4993
2, 6, 5, cat, 23, 1, 2@, 2@, 21, 078.jpg, singleton, cat_singleton, 0.0041, 1, 0.7147
2, 6, 5, cat, 24, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0039, 1, 0.5306
2, 6, 5, cat, 25, 1, 1!, 2@, 16, 050.jpg, different, cat_different_pair2, 0.0038, 0, 0.4118
2, 6, 5, cat, 26, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1_2back, 0.0036, 1, 0.4780
2, 6, 5, cat, 27, 1, 2@, 2@, 7, 027.jpg, same, cat_same_pair1, 0.0034, 1, 0.6123
2, 6, 5, cat, 28, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2, 0.0032, 1, 0.4645
2, 6, 5, cat, 29, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0031, 1, 0.4716
2, 6, 5, cat, 30, 1, 2@, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0028, 0, 0.5138
2, 6, 6, nback, 1, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0101, 1, 0.5686
2, 6, 6, nback, 2, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0099, 1, 0.4718
2, 6, 6, nback, 3, 1, 1!, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0098, 1, 0.4068
2, 6, 6, nback, 4, 1, 2@, 2@, 32, 031.jpg, same, nback_same_pair2_2back, 0.0095, 1, 0.4220
2, 6, 6, nback, 5, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0094, 1, 0.4204
2, 6, 6, nback, 6, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0093, 1, 0.4244
2, 6, 6, nback, 7, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0091, 1, 0.4097
2, 6, 6, nback, 8, 1, 1!, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0089, 1, 0.4116
2, 6, 6, nback, 9, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0087, 1, 0.4328
2, 6, 6, nback, 10, 1, 2@, 2@, 28, 071.jpg, same, nback_same_pair2_2back, 0.0086, 1, 0.4359
