1, 1, 6, nback, 26, 1, 1!, 1!, 28, 074.jpg, same, nback_same_pair2, 0.0159, 1, 0.6250
1, 1, 6, nback, 27, 1, 1!, 1!, 35, 025.jpg, different, nback_different_pair1, 0.0013, 1, 0.8075
1, 1, 6, nback, 28, 1, 2@, 1!, 36, 004.jpg, different, nback_different_pair2, 0.0032, 0, 0.7092
1, 1, 6, nback, 29, 1, 1!, 1!, 48, 016.jpg, singleton, nback_singleton, 0.0054, 1, 0.5795
1, 1, 6, nback, 30, 1, 1!, 1!, 41, 006.jpg, singleton, nback_singleton, 0.0072, 1, 0.8176
1, 1, 7, cat, 1, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton, 0.0035, 1, 0.8053
1, 1, 7, cat, 2, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton, 0.0057, 1, 0.9868
1, 1, 7, cat, 3, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton_2back, 0.0076, 1, 0.7051
1, 1, 7, cat, 4, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0096, 1, 0.8871
1, 1, 7, cat, 5, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton, 0.0116, 1, 0.7248
1, 1, 7, cat, 6, 0, , 2@, 23, 045.jpg, singleton, cat_singleton, 0.0136, 0, -1.0000
1, 1, 7, cat, 7, 1, 1!, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0154, 0, 0.7690
1, 1, 7, cat, 8, 1, 1!, 2@, 23, 045.jpg, singleton, cat_singleton_2back, 0.0175, 0, 0.8953
1, 1, 7, cat, 9, 0, , 1!, 12, 041.jpg, different, cat_different_pair2, 0.0026, 0, -1.0000
1, 1, 7, cat, 10, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0049, 1, 0.5558
1, 1, 7, cat, 11, 1, 1!, 2@, 14, 001.jpg, different, cat_different_pair2, 0.0069, 0, 0.6419
1, 1, 7, cat, 12, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton, 0.0087, 1, 0.6880
1, 1, 7, cat, 13, 1, 1!, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0109, 0, 0.8459
