2, 1, 5, nback, 24, 0, , 1!, 36, 043.jpg, different, nback_different_pair2, 0.0082, 0, -1.0000
2, 1, 5, nback, 25, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0100, 1, 0.4075
2, 1, 5, nback, 26, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0121, 1, 0.5812
2, 1, 5, nback, 27, 1, 2@, 2@, 44, 080.jpg, singleton, nback_singleton_2back, 0.0141, 1, 0.5633
2, 1, 5, nback, 28, 1, 1!, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0161, 1, 0.6253
2, 1, 5, nback, 29, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0015, 1, 0.6720
2, 1, 5, nback, 30, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0035, 1, 0.5979
2, 1, 6, cat, 1, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0164, 1, 0.8331
2, 1, 6, cat, 2, 0, , 2@, 16, 050.jpg, different, cat_different_pair2, 0.0018, 0, -1.0000
2, 1, 6, cat, 3, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1_2back, 0.0038, 1, 0.5976
2, 1, 6, cat, 4, 1, 2@, 2@, 21, 078.jpg, singleton, cat_singleton, 0.0058, 1, 0.8513
2, 1, 6, cat, 5, 0, , 2@, 22, 007.jpg, singleton, cat_singleton, 0.0077, 0, -1.0000
2, 1, 6, cat, 6, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0097, 1, 0.7113
2, 1, 6, cat, 7, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0117, 1, 0.6535
2, 1, 6, cat, 8, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton, 0.0137, 1, 0.7238
2, 1, 6, cat, 9, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2_2back, 0.0157, 1, 0.7376
2, 1, 6, cat, 10, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0177, 1, 0.6634
2, 1, 6, cat, 11, 1, 2@, 2@, 9, 056.jpg, different, cat_different_pair1, 0.0031, 1, 0.8380
2, 1, 6, cat, 12, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton_2back, 0.0050, 1, 0.8042
2, 1, 6, cat, 13, 1, 2@, 1!, 10, 076.jpg, different, cat_different_pair2, 0.0070, 0, 0.8340
2, 1, 6, cat, 14, 0, , 1!, 17, 063.jpg, singleton, cat_singleton, 0.0091, 0, -1.0000
2, 1, 6, cat, 15, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0111, 1, 0.4464
2, 1, 6, cat, 16, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton_2back, 0.0130, 1, 0.5965
2, 1, 6, cat, 17, 1, 2@, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0150, 1, 0.5224
2, 1, 6, cat, 18, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0170, 1, 0.5682
2, 1, 6, cat, 19, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0024, 1, 0.6866
2, 1, 6, cat, 20, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0044, 1, 0.6287
2, 1, 6, cat, 21, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2_2back, 0.0064, 1, 0.5630
2, 1, 6, cat, 22, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0084, 1, 0.5929
2, 1, 6, cat, 23, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0104, 1, 0.6069
2, 1, 6, cat, 24, 1, 1!, 2@, 5, 070.jpg, same, cat_same_pair1_2back, 0.0123, 0, 0.7330
2, 1, 6, cat, 25, 1, 1!, 2@, 7, 027.jpg, same, cat_same_pair1, 0.0143, 0, 0.4586
2, 1, 6, cat, 26, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2, 0.0163, 1, 0.5688
2, 1, 6, cat, 27, 1, 1!, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0015, 0, 0.9598
