1, 2, 6, cat, 11, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton, 0.0029, 1, 0.6132
1, 2, 6, cat, 12, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton, 0.0049, 1, 0.5475
1, 2, 6, cat, 13, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1, 0.0069, 1, 0.6654
1, 2, 6, cat, 14, 1, 2@, 1!, 2, 035.jpg, same, cat_same_pair2, 0.0089, 0, 0.6956
1, 2, 6, cat, 15, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton, 0.0109, 1, 0.6854
1, 2, 6, cat, 16, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton, 0.0129, 1, 0.8912
1, 2, 6, cat, 17, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton_2back, 0.0147, 1, 0.6737
1, 2, 6, cat, 18, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0167, 1, 0.7756
1, 2, 6, cat, 19, 1, 1!, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0022, 0, 0.8302
1, 2, 6, cat, 20, 1, 2@, 2@, 6, 084.jpg, same, cat_same_pair2, 0.0042, 1, 0.9482
1, 2, 6, cat, 21, 1, 2@, 2@, 5, 027.jpg, same, cat_same_pair1_2back, 0.0062, 1, 0.8099
1, 2, 6, cat, 22, 1, 1!, 2@, 7, 026.jpg, same, cat_same_pair1, 0.0080, 0, 0.7203
1, 2, 6, cat, 23, 1, 1!, 2@, 8, 043.jpg, same, cat_same_pair2, 0.0100, 0, 0.7585
1, 2, 6, cat, 24, 1, 2@, 2@, 7, 026.jpg, same, cat_same_pair1_2back, 0.0120, 1, 0.7723
1, 2, 6, cat, 25, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1, 0.0139, 1, 0.6583
1, 2, 6, cat, 26, 1, 2@, 2@, 16, 048.jpg, different, cat_different_pair2, 0.0161, 1, 0.6959
1, 2, 6, cat, 27, 1, 2@, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0014, 1, 0.6629
1, 2, 6, cat, 28, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0033, 1, 0.7731
1, 2, 6, cat, 29, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0054, 1, 0.8749
1, 2, 6, cat, 30, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2_2back, 0.0074, 1, 0.7930
1, 2, 7, nback, 1, 1, 1!, 1!, 29, 091.jpg, same, nback_same_pair1, 0.0036, 1, 0.7808
1, 2, 7, nback, 2, 1, 1!, 1!, 30, 057.jpg, same, nback_same_pair2, 0.0057, 1, 0.6105
