2, 2, 7, cat, 17, 1, 1!, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0024, 0, 0.5663
2, 2, 7, cat, 18, 1, 1!, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0046, 0, 0.7159
2, 2, 7, cat, 19, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton, 0.0066, 1, 0.6020
2, 2, 7, cat, 20, 1, 2@, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0086, 0, 0.6160
2, 2, 7, cat, 21, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0106, 1, 0.6617
2, 2, 7, cat, 22, 1, 2@, 1!, 18, 041.jpg, singleton, cat_singleton, 0.0125, 0, 0.9158
2, 2, 7, cat, 23, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0146, 1, 0.8100
2, 2, 7, cat, 24, 1, 2@, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0166, 1, 0.7517
2, 2, 7, cat, 25, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0019, 1, 0.4868
2, 2, 7, cat, 26, 1, 1!, 2@, 14, 006.jpg, different, cat_different_pair2_2back, 0.0039, 0, 0.5247
2, 2, 7, cat, 27, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1_2back, 0.0059, 1, 0.5226
2, 2, 7, cat, 28, 1, 1!, 2@, 16, 050.jpg, different, cat_different_pair2, 0.0079, 0, 0.8566
2, 2, 7, cat, 29, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0099, 1, 0.7107
2, 2, 7, cat, 30, 1, 2@, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0119, 0, 0.9644
2, 2, 8, nback, 1, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0082, 1, 0.4084
2, 2, 8, nback, 2, 1, 1!, 1!, 42, 025.jpg, singleton, nback_singleton, 0.0102, 1, 0.5184
2, 2, 8, nback, 3, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0122, 1, 0.5325
2, 2, 8, nback, 4, 1, 2@, 2@, 42, 025.jpg, singleton, nback_singleton_2back, 0.0142, 1, 0.5146
