2, 3, 3, nback, 27, 1, 1!, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0058, 1, 0.4972
2, 3, 3, nback, 28, 1, 1!, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0078, 1, 0.3596
2, 3, 3, nback, 29, 1, 2@, 2@, 37, 093.jpg, different, nback_different_pair1_2back, 0.0098, 1, 0.4696
2, 3, 3, nback, 30, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0118, 1, 0.4517
2, 3, 4, cat, 1, 1, 2@, 2@, 7, 027.jpg, same, cat_same_pair1, 0.0081, 1, 0.7913
2, 3, 4, cat, 2, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2, 0.0101, 1, 0.5733
2, 3, 4, cat, 3, 1, 2@, 2@, 7, 027.jpg, same, cat_same_pair1_2back, 0.0120, 1, 0.5951
2, 3, 4, cat, 4, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0141, 1, 0.5290
2, 3, 4, cat, 5, 1, 1!, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0161, 1, 0.6631
2, 3, 4, cat, 6, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton, 0.0013, 1, 0.6537
2, 3, 4, cat, 7, 1, 1!, 1!, 12, 033.jpg, different, cat_different_pair2_2back, 0.0034, 1, 0.5639
2, 3, 4, cat, 8, 1, 2@, 2@, 21, 078.jpg, singleton, cat_singleton, 0.0054, 1, 0.5620
2, 3, 4, cat, 9, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton, 0.0074, 1, 0.4800
2, 3, 4, cat, 10, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0094, 1, 0.7021
2, 3, 4, cat, 11, 1, 2@, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0114, 0, 0.6921
2, 3, 4, cat, 12, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0134, 1, 0.5941
2, 3, 4, cat, 13, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0153, 1, 0.5202
2, 3, 4, cat, 14, 1, 1!, 2@, 16, 050.jpg, different, cat_different_pair2, 0.0174, 0, 0.5420
2, 3, 4, cat, 15, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1_2back, 0.0027, 1, 0.4288
2, 3, 4, cat, 16, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0047, 1, 0.6506
2, 3, 4, cat, 17, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0067, 1, 0.4806
2, 3, 4, cat, 18, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0087, 1, 0.6148
2, 3, 4, cat, 19, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton_2back, 0.0107, 1, 0.4924
2, 3, 4, cat, 20, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0127, 1, 0.5063
2, 3, 4, cat, 21, 1, 2@, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0147, 1, 0.6085
2, 3, 4, cat, 22, 1, 1!, 2@, 9, 056.jpg, different, cat_different_pair1, 0.0167, 0, 0.5028
2, 3, 4, cat, 23, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2, 0.0020, 1, 0.5813
2, 3, 4, cat, 24, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0040, 1, 0.7710
2, 3, 4, cat, 25, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2_2back, 0.0060, 1, 0.6810
2, 3, 4, cat, 26, 1, 1!, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0080, 0, 0.7354
2, 3, 4, cat, 27, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0100, 1, 0.5250
2, 3, 4, cat, 28, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0120, 1, 0.4672
2, 3, 4, cat, 29, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton_2back, 0.0140, 1, 0.5055
2, 3, 4, cat, 30, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0160, 1, 0.5353
2, 3, 5, nback, 1, 1, 1!, 1!, 42, 025.jpg, singleton, nback_singleton, 0.0123, 1, 0.7948
2, 3, 5, nback, 2, 1, 1!, 1!, 48, 012.jpg, singleton, nback_singleton, 0.0143, 1, 0.4010
2, 3, 5, nback, 3, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0163, 1, 0.4067
2, 3, 5, nback, 4, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0016, 1, 0.4695
2, 3, 5, nback, 5, 1, 2@, 2@, 47, 055.jpg, singleton, nback_singleton_2back, 0.0036, 1, 0.6436
2, 3, 5, nback, 6, 1, 2@, 2@, 46, 092.jpg, singleton, nback_singleton_2back, 0.0056, 1, 0.4094
2, 3, 5, nback, 7, 1, 1!, 1!, 29, 060.jpg, same, nback_same_pair1, 0.0076, 1, 0.2637
2, 3, 5, nback, 8, 1, 1!, 1!, 30, 037.jpg, same, nback_same_pair2, 0.0096, 1, 0.4218
2, 3, 5, nback, 9, 1, 2@, 2@, 29, 060.jpg, same, nback_same_pair1_2back, 0.0116, 1, 0.5634
2, 3, 5, nback, 10, 1, 1!, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0136, 1, 0.3454
2, 3, 5, nback, 11, 1, 1!, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0156, 1, 0.4716
2, 3, 5, nback, 12, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0176, 1, 0.4778
2, 3, 5, nback, 13, 1, 2@, 2@, 38, 013.jpg, different, nback_different_pair2_2back, 0.0029, 1, 0.6044
2, 3, 5, nback, 14, 1, 1!, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0050, 1, 0.6182
2, 3, 5, nback, 15, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0069, 1, 0.5041
2, 3, 5, nback, 16, 1, 1!, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0089, 1, 0.4866
2, 3, 5, nback, 17, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0109, 1, 0.4604
2, 3, 5, nback, 18, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0129, 1, 0.5624
