TVtest2, 1, 8, nback, 2, 0, , n, 38, 059.jpg, different, nback_different_pair2, 0.0022, 0, -1.0000
TVtest2, 1, 8, nback, 3, 0, , n, 29, 094.jpg, same, nback_same_pair1, 0.0021, 0, -1.0000
TVtest2, 1, 8, nback, 4, 0, , n, 30, 051.jpg, same, nback_same_pair2, 0.0022, 0, -1.0000
TVtest2, 1, 8, nback, 5, 0, , m, 29, 094.jpg, same, nback_same_pair1_2back, 0.0022, 0, -1.0000
TVtest2, 1, 8, nback, 6, 0, , n, 46, 012.jpg, singleton, nback_singleton, 0.0019, 0, -1.0000
TVtest2, 1, 8, nback, 7, 0, , n, 41, 005.jpg, singleton, nback_singleton, 0.0021, 0, -1.0000
TVtest2, 1, 8, nback, 8, 0, , n, 45, 024.jpg, singleton, nback_singleton, 0.0019, 0, -1.0000
TVtest2, 1, 8, nback, 9, 0, , n, 48, 046.jpg, singleton, nback_singleton, 0.0023, 0, -1.0000
TVtest2, 1, 8, nback, 10, 0, , n, 27, 030.jpg, same, nback_same_pair1, 0.0023, 0, -1.0000
TVtest2, 1, 8, nback, 11, 0, , m, 48, 046.jpg, singleton, nback_singleton_2back, 0.0023, 0, -1.0000
TVtest2, 1, 8, nback, 12, 0, , n, 28, 020.jpg, same, nback_same_pair2, 0.0021, 0, -1.0000
TVtest2, 1, 8, nback, 13, 0, , n, 47, 071.jpg, singleton, nback_singleton, 0.0021, 0, -1.0000
TVtest2, 1, 8, nback, 14, 0, , n, 25, 006.jpg, same, nback_same_pair1, 0.0022, 0, -1.0000
TVtest2, 1, 8, nback, 15, 0, , n, 26, 078.jpg, same, nback_same_pair2, 0.0028, 0, -1.0000
TVtest2, 1, 8, nback, 16, 0, , n, 35, 049.jpg, different, nback_different_pair1, 0.0022, 0, -1.0000
TVtest2, 1, 8, nback, 17, 0, , n, 36, 039.jpg, different, nback_different_pair2, 0.0022, 0, -1.0000
TVtest2, 1, 8, nback, 18, 0, , n, 42, 052.jpg, singleton, nback_singleton, 0.0023, 0, -1.0000
TVtest2, 1, 8, nback, 19, 0, , m, 36, 039.jpg, different, nback_different_pair2_2back, 0.0028, 0, -1.0000
