1, 5, 6, nback, 20, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0041, 1, 0.6336
1, 5, 6, nback, 21, 1, 2@, 2@, 28, 074.jpg, same, nback_same_pair2_2back, 0.0060, 1, 0.7355
1, 5, 6, nback, 22, 1, 1!, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0079, 1, 0.6378
1, 5, 6, nback, 23, 1, 1!, 1!, 37, 083.jpg, different, nback_different_pair1, 0.0100, 1, 0.6836
1, 5, 6, nback, 24, 1, 1!, 1!, 38, 005.jpg, different, nback_different_pair2, 0.0119, 1, 0.5617
1, 5, 6, nback, 25, 1, 1!, 1!, 47, 094.jpg, singleton, nback_singleton, 0.0141, 1, 0.6557
1, 5, 6, nback, 26, 1, 2@, 2@, 38, 005.jpg, different, nback_different_pair2_2back, 0.0161, 1, 0.6616
1, 5, 6, nback, 27, 1, 2@, 1!, 42, 061.jpg, singleton, nback_singleton, 0.0014, 0, 0.7083
1, 5, 6, nback, 28, 1, 1!, 1!, 41, 006.jpg, singleton, nback_singleton, 0.0034, 1, 0.7864
1, 5, 6, nback, 29, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0054, 1, 0.8004
1, 5, 6, nback, 30, 1, 2@, 2@, 41, 006.jpg, singleton, nback_singleton_2back, 0.0074, 1, 0.7500
1, 5, 7, cat, 1, 1, 2@, 2@, 7, 026.jpg, same, cat_same_pair1, 0.0037, 1, 0.8020
1, 5, 7, cat, 2, 1, 2@, 2@, 8, 043.jpg, same, cat_same_pair2, 0.0057, 1, 0.7040
1, 5, 7, cat, 3, 1, 2@, 2@, 7, 026.jpg, same, cat_same_pair1_2back, 0.0077, 1, 0.6300
1, 5, 7, cat, 4, 1, 2@, 2@, 24, 070.jpg, singleton, cat_singleton, 0.0097, 1, 0.6039
1, 5, 7, cat, 5, 1, 1!, 1!, 18, 049.jpg, singleton, cat_singleton, 0.0117, 1, 0.6660
1, 5, 7, cat, 6, 1, 2@, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0137, 1, 0.6797
1, 5, 7, cat, 7, 1, 1!, 1!, 12, 041.jpg, different, cat_different_pair2, 0.0157, 1, 0.7179
1, 5, 7, cat, 8, 1, 1!, 1!, 15, 093.jpg, different, cat_different_pair1, 0.0177, 1, 0.6040
1, 5, 7, cat, 9, 1, 1!, 1!, 12, 041.jpg, different, cat_different_pair2_2back, 0.0030, 1, 0.7304
1, 5, 7, cat, 10, 1, 2@, 2@, 16, 048.jpg, different, cat_different_pair2, 0.0050, 1, 0.6409
1, 5, 7, cat, 11, 1, 1!, 1!, 13, 020.jpg, different, cat_different_pair1, 0.0070, 1, 0.6704
1, 5, 7, cat, 12, 1, 2@, 2@, 14, 001.jpg, different, cat_different_pair2, 0.0090, 1, 0.5647
1, 5, 7, cat, 13, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0110, 1, 0.5947
1, 5, 7, cat, 14, 1, 2@, 2@, 22, 071.jpg, singleton, cat_singleton, 0.0128, 1, 0.6568
1, 5, 7, cat, 15, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton, 0.0148, 1, 0.5267
1, 5, 7, cat, 16, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton, 0.0170, 1, 0.5568
1, 5, 7, cat, 17, 1, 2@, 2@, 21, 085.jpg, singleton, cat_singleton_2back, 0.0023, 1, 0.5633
1, 5, 7, cat, 18, 1, 2@, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0043, 1, 0.6330
1, 5, 7, cat, 19, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0063, 1, 0.7593
1, 5, 7, cat, 20, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1, 0.0083, 1, 0.8934
1, 5, 7, cat, 21, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2_2back, 0.0102, 1, 0.6517
1, 5, 7, cat, 22, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2, 0.0123, 1, 0.6015
1, 5, 7, cat, 23, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton, 0.0143, 1, 0.7914
1, 5, 7, cat, 24, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton, 0.0162, 1, 0.6373
1, 5, 7, cat, 25, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton_2back, 0.0016, 1, 0.6680
1, 5, 7, cat, 26, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1, 0.0036, 1, 0.6742
1, 5, 7, cat, 27, 1, 1!, 1!, 2, 035.jpg, same, cat_same_pair2, 0.0056, 1, 0.6961
1, 5, 7, cat, 28, 1, 1!, 1!, 1, 017.jpg, same, cat_same_pair1_2back, 0.0074, 1, 0.6783
1, 5, 7, cat, 29, 1, 2@, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0096, 1, 0.7083
1, 5, 7, cat, 30, 1, 2@, 2@, 6, 084.jpg, same, cat_same_pair2, 0.0115, 1, 0.6660
1, 5, 8, nback, 1, 1, 1!, 1!, 35, 025.jpg, different, nback_different_pair1, 0.0079, 1, 0.8297
1, 5, 8, nback, 2, 1, 1!, 1!, 36, 004.jpg, different, nback_different_pair2, 0.0097, 1, 0.3720
1, 5, 8, nback, 3, 1, 1!, 1!, 45, 022.jpg, singleton, nback_singleton, 0.0118, 1, 0.5138
1, 5, 8, nback, 4, 1, 2@, 2@, 36, 004.jpg, different, nback_different_pair2_2back, 0.0138, 1, 0.5834
1, 5, 8, nback, 5, 1, 1!, 1!, 25, 072.jpg, same, nback_same_pair1, 0.0158, 1, 0.6376
1, 5, 8, nback, 6, 1, 1!, 1!, 26, 092.jpg, same, nback_same_pair2, 0.0178, 1, 0.6118
1, 5, 8, nback, 7, 1, 2@, 2@, 25, 072.jpg, same, nback_same_pair1_2back, 0.0030, 1, 0.7226
1, 5, 8, nback, 8, 1, 1!, 1!, 46, 051.jpg, singleton, nback_singleton, 0.0050, 1, 0.8725
1, 5, 8, nback, 9, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0071, 1, 0.6465
1, 5, 8, nback, 10, 1, 2@, 2@, 46, 051.jpg, singleton, nback_singleton_2back, 0.0090, 1, 0.6362
1, 5, 8, nback, 11, 1, 1!, 1!, 28, 074.jpg, same, nback_same_pair2, 0.0110, 1, 0.7305
1, 5, 8, nback, 12, 1, 1!, 1!, 29, 091.jpg, same, nback_same_pair1, 0.0132, 1, 0.5602
1, 5, 8, nback, 13, 1, 1!, 1!, 30, 057.jpg, same, nback_same_pair2, 0.0151, 1, 0.6705
1, 5, 8, nback, 14, 1, 1!, 1!, 39, 065.jpg, different, nback_different_pair1, 0.0171, 1, 0.8445
1, 5, 8, nback, 15, 1, 1!, 1!, 40, 013.jpg, different, nback_different_pair2, 0.0024, 1, 0.7948
1, 5, 8, nback, 16, 1, 1!, 1!, 31, 023.jpg, same, nback_same_pair1, 0.0044, 1, 0.8733
1, 5, 8, nback, 17, 1, 1!, 1!, 32, 009.jpg, same, nback_same_pair2, 0.0064, 1, 0.7990
