2, 5, 5, nback, 16, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0087, 1, 0.5039
2, 5, 5, nback, 17, 1, 1!, 1!, 42, 025.jpg, singleton, nback_singleton, 0.0108, 1, 0.5818
2, 5, 5, nback, 18, 1, 1!, 1!, 48, 012.jpg, singleton, nback_singleton, 0.0128, 1, 0.5637
2, 5, 5, nback, 19, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0148, 1, 0.5697
2, 5, 5, nback, 20, 0, , 2@, 48, 012.jpg, singleton, nback_singleton_2back, 0.0168, 0, -1.0000
2, 5, 5, nback, 21, 1, 2@, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0020, 0, 0.5185
2, 5, 5, nback, 22, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0041, 1, 0.4204
2, 5, 5, nback, 23, 1, 1!, 1!, 40, 051.jpg, different, nback_different_pair2, 0.0061, 1, 0.4663
2, 5, 5, nback, 24, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0081, 1, 0.6084
2, 5, 5, nback, 25, 1, 1!, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0101, 1, 0.5501
2, 5, 5, nback, 26, 1, 2@, 2@, 25, 059.jpg, same, nback_same_pair1_2back, 0.0119, 1, 0.6044
2, 5, 5, nback, 27, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0141, 1, 0.4421
2, 5, 5, nback, 28, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0161, 1, 0.4403
2, 5, 5, nback, 29, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0014, 1, 0.4392
2, 5, 5, nback, 30, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0034, 1, 0.6288
2, 5, 6, cat, 1, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0164, 1, 0.6560
2, 5, 6, cat, 2, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0016, 1, 0.4790
2, 5, 6, cat, 3, 1, 1!, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0036, 1, 0.5169
2, 5, 6, cat, 4, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0057, 1, 0.5867
2, 5, 6, cat, 5, 1, 2@, 2@, 9, 056.jpg, different, cat_different_pair1, 0.0077, 1, 0.5367
2, 5, 6, cat, 6, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2, 0.0098, 1, 0.4544
2, 5, 6, cat, 7, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0117, 1, 0.5084
2, 5, 6, cat, 8, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2_2back, 0.0137, 1, 0.4347
2, 5, 6, cat, 9, 1, 2@, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0157, 1, 0.6407
2, 5, 6, cat, 10, 1, 2@, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0177, 0, 0.4787
2, 5, 6, cat, 11, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0030, 1, 0.5016
2, 5, 6, cat, 12, 1, 1!, 1!, 3, 014.jpg, same, cat_same_pair1_2back, 0.0049, 1, 0.6435
2, 5, 6, cat, 13, 1, 2@, 2@, 21, 078.jpg, singleton, cat_singleton, 0.0070, 1, 0.5695
2, 5, 6, cat, 14, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton, 0.0090, 1, 0.4312
2, 5, 6, cat, 15, 1, 2@, 2@, 21, 078.jpg, singleton, cat_singleton_2back, 0.0110, 1, 0.4776
2, 5, 6, cat, 16, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton, 0.0130, 1, 0.4995
2, 5, 6, cat, 17, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0150, 1, 0.4896
2, 5, 6, cat, 18, 1, 2@, 2@, 5, 070.jpg, same, cat_same_pair1, 0.0170, 1, 0.5032
2, 5, 6, cat, 19, 1, 2@, 2@, 6, 048.jpg, same, cat_same_pair2, 0.0023, 1, 0.5823
2, 5, 6, cat, 20, 1, 1!, 1!, 15, 017.jpg, different, cat_different_pair1, 0.0043, 1, 0.4442
2, 5, 6, cat, 21, 1, 2@, 2@, 16, 050.jpg, different, cat_different_pair2, 0.0063, 1, 0.6099
2, 5, 6, cat, 22, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton, 0.0081, 1, 0.5842
2, 5, 6, cat, 23, 1, 2@, 2@, 16, 050.jpg, different, cat_different_pair2_2back, 0.0103, 1, 0.5261
2, 5, 6, cat, 24, 1, 1!, 1!, 19, 073.jpg, singleton, cat_singleton_2back, 0.0123, 1, 0.4681
2, 5, 6, cat, 25, 1, 2@, 2@, 7, 027.jpg, same, cat_same_pair1, 0.0143, 1, 0.5619
2, 5, 6, cat, 26, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2, 0.0162, 1, 0.5124
2, 5, 6, cat, 27, 1, 2@, 2@, 7, 027.jpg, same, cat_same_pair1_2back, 0.0016, 1, 0.5745
2, 5, 6, cat, 28, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0036, 1, 0.5248
2, 5, 6, cat, 29, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0056, 1, 0.4748
2, 5, 6, cat, 30, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0076, 1, 0.5448
2, 5, 7, nback, 1, 1, 1!, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0039, 1, 0.3886
2, 5, 7, nback, 2, 1, 1!, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0059, 1, 0.4265
2, 5, 7, nback, 3, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0079, 1, 0.4087
2, 5, 7, nback, 4, 1, 1!, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0099, 1, 0.4625
2, 5, 7, nback, 5, 1, 2@, 2@, 33, 062.jpg, different, nback_different_pair1_2back, 0.0119, 1, 0.5247
2, 5, 7, nback, 6, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0139, 1, 0.5142
2, 5, 7, nback, 7, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0159, 1, 0.3525
2, 5, 7, nback, 8, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0179, 1, 0.4146
2, 5, 7, nback, 9, 1, 2@, 2@, 35, 094.jpg, different, nback_different_pair1_2back, 0.0031, 1, 0.5815
2, 5, 7, nback, 10, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0052, 1, 0.4831
2, 5, 7, nback, 11, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0072, 1, 0.5052
2, 5, 7, nback, 12, 1, 1!, 1!, 25, 059.jpg, same, nback_same_pair1, 0.0092, 1, 0.6153
2, 5, 7, nback, 13, 1, 2@, 2@, 43, 044.jpg, singleton, nback_singleton_2back, 0.0112, 1, 0.4929
2, 5, 7, nback, 14, 1, 1!, 1!, 26, 090.jpg, same, nback_same_pair2, 0.0131, 1, 0.4112
2, 5, 7, nback, 15, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0152, 1, 0.4569
2, 5, 7, nback, 16, 1, 1!, 1!, 28, 071.jpg, same, nback_same_pair2, 0.0170, 1, 0.5034
2, 5, 7, nback, 17, 1, 1!, 1!, 29, 060.jpg, same, nback_same_pair1, 0.0025, 1, 0.5655
2, 5, 7, nback, 18, 1, 2@, 2@, 28, 071.jpg, same, nback_same_pair2_2back, 0.0045, 1, 0.3638
2, 5, 7, nback, 19, 1, 1!, 1!, 30, 037.jpg, same, nback_same_pair2, 0.0063, 1, 0.6101
2, 5, 7, nback, 20, 1, 1!, 1!, 47, 055.jpg, singleton, nback_singleton, 0.0085, 1, 0.4878
2, 5, 7, nback, 21, 1, 1!, 1!, 45, 075.jpg, singleton, nback_singleton, 0.0105, 1, 0.4541
2, 5, 7, nback, 22, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0125, 1, 0.4919
2, 5, 7, nback, 23, 1, 2@, 2@, 45, 075.jpg, singleton, nback_singleton_2back, 0.0145, 1, 0.7539
2, 5, 7, nback, 24, 1, 1!, 1!, 40, 051.jpg, different, nback_different_pair2, 0.0164, 1, 0.5277
2, 5, 7, nback, 25, 1, 1!, 1!, 42, 025.jpg, singleton, nback_singleton, 0.0018, 1, 0.5267
2, 5, 7, nback, 26, 1, 1!, 1!, 48, 012.jpg, singleton, nback_singleton, 0.0038, 1, 0.4763
2, 5, 7, nback, 27, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0058, 1, 0.5306
2, 5, 7, nback, 28, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0078, 1, 0.5443
2, 5, 7, nback, 29, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0098, 1, 0.6066
2, 5, 7, nback, 30, 1, 2@, 2@, 32, 031.jpg, same, nback_same_pair2_2back, 0.0118, 1, 0.4686
2, 5, 8, cat, 1, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0081, 1, 0.5441
2, 5, 8, cat, 2, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0101, 1, 0.5982
2, 5, 8, cat, 3, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0121, 1, 0.5323
