2, 4, 7, cat, 9, 1, 2@, 2@, 7, 027.jpg, same, cat_same_pair1, 0.0034, 1, 0.6073
2, 4, 7, cat, 10, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2, 0.0053, 1, 0.5016
2, 4, 7, cat, 11, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton, 0.0074, 1, 0.4674
2, 4, 7, cat, 12, 1, 2@, 2@, 8, 003.jpg, same, cat_same_pair2_2back, 0.0094, 1, 0.4174
2, 4, 7, cat, 13, 1, 1!, 1!, 17, 063.jpg, singleton, cat_singleton_2back, 0.0114, 1, 0.4234
2, 4, 7, cat, 14, 1, 1!, 1!, 20, 042.jpg, singleton, cat_singleton, 0.0134, 1, 0.6376
2, 4, 7, cat, 15, 1, 2@, 2@, 22, 007.jpg, singleton, cat_singleton, 0.0153, 1, 0.5075
2, 4, 7, cat, 16, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton, 0.0174, 1, 0.5615
2, 4, 7, cat, 17, 1, 1!, 1!, 13, 018.jpg, different, cat_different_pair1, 0.0027, 1, 0.5282
2, 4, 7, cat, 18, 1, 2@, 2@, 23, 058.jpg, singleton, cat_singleton_2back, 0.0047, 1, 0.5177
2, 4, 7, cat, 19, 1, 1!, 2@, 14, 006.jpg, different, cat_different_pair2, 0.0067, 0, 0.4922
2, 4, 7, cat, 20, 1, 2@, 2@, 9, 056.jpg, different, cat_different_pair1, 0.0085, 1, 0.5782
2, 4, 7, cat, 21, 1, 1!, 1!, 10, 076.jpg, different, cat_different_pair2, 0.0107, 1, 0.5440
2, 4, 7, cat, 22, 1, 1!, 1!, 1, 019.jpg, same, cat_same_pair1, 0.0127, 1, 0.4302
2, 4, 7, cat, 23, 1, 1!, 1!, 2, 087.jpg, same, cat_same_pair2, 0.0147, 1, 0.5160
2, 4, 7, cat, 24, 1, 2@, 1!, 3, 014.jpg, same, cat_same_pair1, 0.0167, 0, 0.6980
2, 4, 7, cat, 25, 1, 1!, 1!, 4, 034.jpg, same, cat_same_pair2, 0.0019, 1, 0.5688
2, 4, 7, cat, 26, 1, 1!, 1!, 18, 041.jpg, singleton, cat_singleton, 0.0040, 1, 0.5428
2, 4, 7, cat, 27, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1, 0.0060, 1, 0.5087
2, 4, 7, cat, 28, 1, 1!, 1!, 12, 033.jpg, different, cat_different_pair2, 0.0080, 1, 0.4984
2, 4, 7, cat, 29, 1, 2@, 2@, 11, 039.jpg, different, cat_different_pair1_2back, 0.0100, 1, 0.4889
2, 4, 7, cat, 30, 1, 2@, 2@, 24, 067.jpg, singleton, cat_singleton, 0.0119, 1, 0.5347
2, 4, 8, nback, 1, 1, 1!, 1!, 33, 062.jpg, different, nback_different_pair1, 0.0083, 1, 0.7702
2, 4, 8, nback, 2, 1, 1!, 1!, 34, 038.jpg, different, nback_different_pair2, 0.0103, 1, 0.4405
2, 4, 8, nback, 3, 1, 1!, 1!, 39, 081.jpg, different, nback_different_pair1, 0.0123, 1, 0.4786
2, 4, 8, nback, 4, 1, 1!, 1!, 40, 051.jpg, different, nback_different_pair2, 0.0141, 1, 0.5326
2, 4, 8, nback, 5, 1, 2@, 2@, 39, 081.jpg, different, nback_different_pair1_2back, 0.0163, 1, 0.6101
2, 4, 8, nback, 6, 1, 1!, 1!, 31, 011.jpg, same, nback_same_pair1, 0.0016, 1, 0.4091
2, 4, 8, nback, 7, 1, 1!, 1!, 32, 031.jpg, same, nback_same_pair2, 0.0036, 1, 0.4068
2, 4, 8, nback, 8, 1, 1!, 1!, 37, 093.jpg, different, nback_different_pair1, 0.0056, 1, 0.7411
2, 4, 8, nback, 9, 1, 1!, 1!, 38, 013.jpg, different, nback_different_pair2, 0.0076, 1, 0.5953
2, 4, 8, nback, 10, 1, 1!, 1!, 41, 065.jpg, singleton, nback_singleton, 0.0096, 1, 0.5128
2, 4, 8, nback, 11, 1, 1!, 1!, 35, 094.jpg, different, nback_different_pair1, 0.0116, 1, 0.5752
2, 4, 8, nback, 12, 1, 1!, 1!, 36, 043.jpg, different, nback_different_pair2, 0.0136, 1, 0.5972
2, 4, 8, nback, 13, 1, 1!, 1!, 43, 044.jpg, singleton, nback_singleton, 0.0156, 1, 0.7231
2, 4, 8, nback, 14, 1, 2@, 2@, 36, 043.jpg, different, nback_different_pair2_2back, 0.0176, 1, 0.6171
2, 4, 8, nback, 15, 1, 1!, 1!, 44, 080.jpg, singleton, nback_singleton, 0.0029, 1, 0.4715
2, 4, 8, nback, 16, 1, 1!, 1!, 46, 092.jpg, singleton, nback_singleton, 0.0049, 1, 0.4457
2, 4, 8, nback, 17, 1, 1!, 1!, 27, 030.jpg, same, nback_same_pair1, 0.0069, 1, 0.5877
