1, 4, 8, cat, 1, 1, 2@, 2@, 23, 045.jpg, singleton, cat_singleton, 0.0079, 1, 0.6389
1, 4, 8, cat, 2, 1, 1!, 1!, 17, 087.jpg, singleton, cat_singleton, 0.0098, 1, 0.6447
1, 4, 8, cat, 3, 1, 2@, 2@, 7, 026.jpg, same, cat_same_pair1, 0.0119, 1, 0.6830
1, 4, 8, cat, 4, 1, 2@, 2@, 8, 043.jpg, same, cat_same_pair2, 0.0137, 1, 0.6248
1, 4, 8, cat, 5, 1, 2@, 2@, 7, 026.jpg, same, cat_same_pair1_2back, 0.0158, 1, 0.6707
1, 4, 8, cat, 6, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1, 0.0178, 1, 0.6929
1, 4, 8, cat, 7, 1, 1!, 1!, 4, 096.jpg, same, cat_same_pair2, 0.0032, 1, 0.6837
1, 4, 8, cat, 8, 1, 1!, 1!, 3, 066.jpg, same, cat_same_pair1_2back, 0.0051, 1, 0.6737
1, 4, 8, cat, 9, 1, 2@, 2@, 11, 046.jpg, different, cat_different_pair1, 0.0071, 1, 0.6877
1, 4, 8, cat, 10, 1, 1!, 1!, 12, 041.jpg, different, cat_different_pair2, 0.0090, 1, 0.7095
1, 4, 8, cat, 11, 1, 1!, 1!, 20, 080.jpg, singleton, cat_singleton, 0.0111, 1, 0.6835
1, 4, 8, cat, 12, 1, 1!, 1!, 12, 041.jpg, different, cat_different_pair2_2back, 0.0131, 1, 0.7213
1, 4, 8, cat, 13, 1, 2@, 2@, 9, 075.jpg, different, cat_different_pair1, 0.0151, 1, 0.7117
1, 4, 8, cat, 14, 1, 1!, 1!, 10, 019.jpg, different, cat_different_pair2, 0.0171, 1, 0.7577
1, 4, 8, cat, 15, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton, 0.0024, 1, 0.6680
1, 4, 8, cat, 16, 1, 2@, 2@, 5, 027.jpg, same, cat_same_pair1, 0.0044, 1, 0.6340
1, 4, 8, cat, 17, 1, 1!, 1!, 19, 081.jpg, singleton, cat_singleton_2back, 0.0063, 1, 0.6001
